BCI-AV#,English,POS,Derivation - explanation,BCI-AV#,POS,Derivation - explanation svenska ,Swedish,BCI-AV#,Norwegian,BCI-AV#,Finnish,BCI-AV#,Hungarian,BCI-AV#,German,BCI-AV#,Dutch,BCI-AV#,Afrikaans,BCI-AV#,Russian,BCI-AV#,Latvian,BCI-AV#,Polish,BCI-AV#,French,BCI-AV#,Spanish,BCI-AV#,Portugese - draft,BCI-AV#,Italian - draft,BCI-AV#,Danish - draft
8483,exclamation_mark,WHITE,(punctuation mark - 1. used as punctuation in symbol sentences;  2. used to indicate that the symbol statement that follows it is in the imperative form)   - Character,8483,WHITE,(punctuation mark - 1. used as punctuation in symbol sentences;  2. used to indicate that the symbol statement that follows it is in the imperative form)   - Character,utropstecken,8483,utropstegn,8483,huutomerkki,8483,"felkiáltó jel, nyomatékosító jel",8483,Ausrufezeichen,8483,uitroepteken,8483,uitroepteken,8483,восклицательный знак,8483,izsaukuma zīme,8483,znak zapytania,8483,point d'exclamation (ponctuation),8483,signo de exclamación,8483,ponto de exclamação,8483,punto esclamativo,8483,
8484,"percent,percentage,%",YELLOW,(international mathematical symbol)   - Character,8484,YELLOW,(international mathematical symbol)   - Character,"procent, %",8484,"prosent, %",8484,"prosentti, %",8484,"százalék, %",8484,"Prozent, %",8484,"procent, percentage, %",8484,"persent, persentasie, %",8484,"процент, %",8484,"procents, procenti, %",8484,"procent, odsetek, %",8484,"pourcent (signe), %",8484,"por ciento, porcentaje, %",8484,"percentagem, %",8484,"percentuale, %",8484,"procent, %"
8485,question_mark,YELLOW,(punctuation mark - used as punctuation in symbol sentences)   - Character,8485,YELLOW,(punctuation mark - used as punctuation in symbol sentences)   - Character,frågetecken,8485,spørsmålstegn,8485,kysymysmerkki,8485,"kérdés, kérdőjel",8485,Fragezeichen,8485,vraagteken,8485,vraagteken,8485,вопросительный знак,8485,jautājuma zīme,8485,wykrzyknik (znak),8485,point d'interrogation (ponctuation),8485,signo de interrogación,8485,,8485,punto interrogativo,8485,
8486,"period,point,full_stop,decimal_point",WHITE,(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol)   - Character,8486,WHITE,(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol)   - Character,punkt,8486,punktum,8486,piste,8486,pont,8486,Punkt,8486,punt,8486,punt,8486,точка,8486,punkts,8486,kropka,8486,point (ponctuation),8486,"punto, punto y aparte, punto decimal",8486,,8486,punto,8486,
8487,comma,WHITE,"(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning)   - Character",8487,WHITE,"(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning)   - Character",kommatecken,8487,komma,8487,pilkku,8487,vessző,8487,Komma,8487,komma,8487,komma,8487,запятая,8487,komats,8487,przecinek,8487,virgule (ponctuation),8487,coma,8487,,8487,virgola,8487,
8488,colon,WHITE,(punctuation mark)   - Character,8488,WHITE,(punctuation mark)   - Character,kolon,8488,kolon,8488,kaksoispiste,8488,kettőspont,8488,Doppelpunkt,8488,"dubbelpunt, deelteken",8488,"dubbelpunt, deelteken",8488,двоеточие,8488,kols,8488,dwukropek,8488,deux-points (ponctuation),8488,punto y coma,8488,dois pontos,8488,due punti,8488,kolon
8489,apostrophe,WHITE,(punctuation mark)   - Character,8489,WHITE,(punctuation mark)   - Character,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,,8489,
8490,degree,WHITE,(punctuation mark)   - Character,8490,WHITE,(punctuation mark)   - Character,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,,8490,
8496,"zero_(digit),0",WHITE,(Arabic numeral 0)   - Character,8496,WHITE,(Arabic numeral 0)   - Character,"noll, 0",8496,"null, 0",8496,"nolla, 0",8496,"nulla, 0",8496,"Null, 0",8496,"nul, 0",8496,"nul, zero, 0",8496,"ноль, 0",8496,"nulle (cipars), 0",8496,"zero (cyfra), 0",8496,"zéro (chiffre), 0",8496,"cero (dígito), 0",8496,"zero, 0",8496,"zero, 0",8496,0
8497,"one_(digit),1",WHITE,(Arabic numeral 1)   - Character,8497,WHITE,(Arabic numeral 1)   - Character,"ett, 1",8497,"en, 1",8497,"yksi, 1",8497,"egy, 1",8497,"eins, 1",8497,"één, 1",8497,"een, 1",8497,"один, 1",8497,"viens, (cipars), 1",8497,"jeden (cyfra), 1",8497,"un (chiffre), 1",8497,"uno (dígito), 1",8497,"um, 1",8497,"uno, una, 1",8497,1
8498,"two_(digit),2",WHITE,(Arabic numeral 2)   - Character,8498,WHITE,(Arabic numeral 2)   - Character,"två, 2",8498,"to, 2",8498,"kaksi, 2",8498,"kettő, 2",8498,"zwei, 2",8498,"twee, 2",8498,"twee, 2",8498,"два, 2",8498,"divi, (cipars), 2",8498,"dwa (cyfra), 2",8498,"deux (chiffre), 2",8498,"dos (dígito), 2",8498,"dois, 2",8498,"due, 2",8498,2
8499,"three_(digit),3",WHITE,(Arabic numeral 3)   - Character,8499,WHITE,(Arabic numeral 3)   - Character,"tre, 3",8499,"tre, 3",8499,"kolme, 3",8499,"három, 3",8499,"drei, 3",8499,"drie, 3",8499,"drie, 3",8499,"три, 3",8499,"trīs, (cipars), 3",8499,"trzy (cyfra), 3",8499,"trois (chiffre), 3",8499,"tres (dígito), 3",8499,"três, 3",8499,"tre, 3",8499,3
8500,"four_(digit),4",WHITE,(Arabic numeral 4)   - Character,8500,WHITE,(Arabic numeral 4)   - Character,"fyra, 4",8500,"fire, 4",8500,"neljä, 4",8500,"négy, 4",8500,"vier, 4",8500,"vier, 4",8500,"vier, 4",8500,"четыре, 4",8500,"četri, (cipars), 4",8500,"cztery (cyfra), 4",8500,"quatre (chiffre), 4",8500,"cuatro (dígito), 4",8500,"quatro, 4",8500,"quattro, 4",8500,4
8501,"five_(digit),5",WHITE,(Arabic numeral 5)   - Character,8501,WHITE,(Arabic numeral 5)   - Character,"fem, 5",8501,"fem, 5",8501,"viisi, 5",8501,"öt, 5",8501,"fünf, 5",8501,"vijf, 5",8501,"vyf, 5",8501,"пять, 5",8501,"pieci, (cipars), 5",8501,"pięć (cyfra), 5",8501,"cinq (chiffre), 5",8501,"cinco (dígito), 5",8501,"cinco, 5",8501,"cinque, 5",8501,5
8502,"six_(digit),6",WHITE,(Arabic numeral 6)   - Character,8502,WHITE,(Arabic numeral 6)   - Character,"sex, 6",8502,"seks, 6",8502,"kuusi, 6",8502,"hat, 6",8502,"sechs, 6",8502,"zes, 6",8502,"ses, 6",8502,"шесть, 6",8502,"seši, (cipars), 6",8502,"sześć (cyfra), 6",8502,"six (chiffre), 6",8502,"seis (dígito), 6",8502,"seis, 6",8502,"sei, 6",8502,6
8503,"seven_(digit),7",WHITE,(Arabic numeral 7)   - Character,8503,WHITE,(Arabic numeral 7)   - Character,"sju, 7",8503,"syv, 7",8503,"seitsemän, 7",8503,"hét, 7",8503,"sieben, 7",8503,"zeven, 7",8503,"sewe, 7",8503,"семь, 7",8503,"septiņi, (cipars), 7",8503,"siedem (cyfra), 7",8503,"sept (chiffre), 7",8503,"siete (dígito), 7",8503,"sete, 7",8503,"sette, 7",8503,7
8504,"eight_(digit),8",WHITE,(Arabic numeral 8)   - Character,8504,WHITE,(Arabic numeral 8)   - Character,"åtta, 8",8504,"åtte, 8",8504,"kahdeksan, 8",8504,"nyolc, 8",8504,"acht, 8",8504,"acht, 8",8504,"agt, 8",8504,"восемь, 8",8504,"astoņi, (cipars), 8",8504,"osiem (cyfra), 8",8504,"huit (chiffre), 8",8504,"ocho (dígito), 8",8504,"oito, 8",8504,"otto, 8",8504,8
8505,"nine_(digit),9",WHITE,(Arabic numeral 9)   - Character,8505,WHITE,(Arabic numeral 9)   - Character,"nio, 9",8505,"ni, 9",8505,"yhdeksän, 9",8505,"kilenc, 9",8505,"neun, 9",8505,"negen, 9",8505,"nege, 9",8505,"девять, 9",8505,"deviņi, (cipars), 9",8505,"dziewięć (cyfr), 9",8505,"neuf (chiffre), 9",8505,"nueve (dígito), 9",8505,"nove, 9",8505,"nove, 9",8505,9
